customer_id,first_name,last_name,email,phone,city,state,country,signup_date,customer_tier,is_active
C001,John,Smith,john.smith@email.com,555-0101,New York,NY,USA,2022-01-15,GOLD,true
C002,Jane,Doe,jane.doe@email.com,555-0102,Los Angeles,CA,USA,2022-03-22,SILVER,true
C003,Bob,Johnson,bob.j@email.com,555-0103,Chicago,IL,USA,2021-11-08,BRONZE,true
C004,Alice,Williams,alice.w@email.com,555-0104,Houston,TX,USA,2023-01-05,GOLD,true
C005,Charlie,Brown,charlie.b@email.com,555-0105,Phoenix,AZ,USA,2022-07-19,SILVER,false
C006,Diana,Miller,diana.m@email.com,555-0106,Philadelphia,PA,USA,2023-04-12,BRONZE,true
C007,Eve,Davis,eve.d@email.com,555-0107,San Antonio,TX,USA,2021-09-30,GOLD,true
C008,Frank,Wilson,frank.w@email.com,555-0108,San Diego,CA,USA,2022-12-01,SILVER,true
C009,Grace,Moore,grace.m@email.com,555-0109,Dallas,TX,USA,2023-06-15,BRONZE,true
C010,Henry,Taylor,henry.t@email.com,555-0110,San Jose,CA,USA,2022-05-20,GOLD,false
